case_id,case_score,case_outlier,iso_outlier
3894569,0.665,False,False
3894614,0.608,True,False
3895242,0.614,True,False
3896896,0.906,True,False
3898824,0.684,False,False
3899858,0.962,False,False
3901411,0.982,True,False
3901801,0.916,True,False
3902523,0.628,True,False
3902889,0.721,False,False
3903301,0.886,True,True
3906817,0.963,False,False
3909568,0.697,False,False
3910351,0.96,False,False
3916862,0.744,False,False
3917792,0.7,False,False
3925624,0.74,False,False
3927643,0.747,False,False
3927739,0.623,True,False
3930382,0.968,False,False
3930761,0.707,False,False
3932549,0.669,False,False
3933360,0.954,False,False
3933960,0.687,False,False
3935195,0.632,True,False
3935223,0.926,True,False
3936989,0.675,False,False
3938346,0.988,True,False
3940349,0.729,False,False
3942829,0.988,True,False
3943359,0.738,False,False
3945605,0.966,False,False
3946473,0.7,False,False
3946781,0.974,False,False
3949536,0.967,False,False
3951904,0.707,True,False
3953870,0.752,False,False
3959330,0.701,False,False
3959698,0.619,True,False
3960395,0.975,True,False
3961333,0.973,False,False
3962270,0.719,False,False
3965198,0.718,False,False
3966946,0.955,False,False
3967613,0.577,True,True
3967958,0.738,False,False
3971513,0.968,False,False
3971830,0.655,False,False
3978362,0.983,True,False
3983198,0.718,False,False
3987293,0.974,False,False
3988631,0.637,True,False
3989897,0.688,False,False
3990607,0.687,False,False
3995906,0.7,False,False
3996397,0.632,True,False
3998042,0.984,True,False
3999843,0.684,False,False
4000991,0.972,False,False
4002836,0.691,False,False
4004994,0.655,False,False
4005077,0.766,False,False
4008831,0.967,False,False
4011065,0.811,True,False
4012152,0.638,True,False
