case_id,municipality,case_hybrid_score,case_hybrid_raw
12030213,BPIC15_5,0.799,0.7944336744475055
12031806,BPIC15_5,0.812,0.8068603869706255
12033154,BPIC15_5,0.474,0.48646878366043744
12035087,BPIC15_1,0.476,0.48777018483643847
12057660,BPIC15_5,0.812,0.8062230154070028
12062422,BPIC15_5,0.814,0.808515057277194
12064182,BPIC15_5,0.902,0.8923501903864598
12092469,BPIC15_1,0.929,0.9180299915067424
12095670,BPIC15_1,0.92,0.9090380460958329
12096555,BPIC15_1,0.852,0.844439688839677
12105877,BPIC15_5,0.811,0.8061993236892565
12113617,BPIC15_1,0.876,0.8670629752895967
12115434,BPIC15_1,0.875,0.8664285190345759
12135943,BPIC15_5,0.466,0.4788283769275957
12148183,BPIC15_5,0.813,0.8076714936252017
12149040,BPIC15_5,0.813,0.808012318257074
12152305,BPIC15_5,0.876,0.8677095220790815
12153536,BPIC15_5,0.877,0.8679128916564534
12181438,BPIC15_1,0.876,0.8669413293275141
12189231,BPIC15_1,0.853,0.8453755293421835
12193737,BPIC15_5,0.802,0.796928399913308
12227335,BPIC15_5,0.405,0.4208308912679642
12228771,BPIC15_5,0.807,0.8023729996366893
12229496,BPIC15_5,0.808,0.8027841986516888
12230542,BPIC15_5,0.875,0.8666749640066133
12232106,BPIC15_5,0.816,0.8102983282814017
12239409,BPIC15_1,0.933,0.9215586106114625
12260058,BPIC15_5,0.875,0.8662882498680411
12262928,BPIC15_5,0.881,0.8716866894369694
12306351,BPIC15_5,0.87,0.8616443523616906
12351978,BPIC15_1,0.918,0.907592786964823
12375177,BPIC15_5,0.882,0.8727680577112953
12391180,BPIC15_5,0.909,0.8988810662079221
12391961,BPIC15_5,0.476,0.4876279060468709
12454586,BPIC15_5,0.805,0.799738403705427
12464456,BPIC15_1,0.918,0.9074674516403486
12467304,BPIC15_1,0.928,0.9168154572214606
12492057,BPIC15_1,0.513,0.5227210979094825
12516805,BPIC15_1,0.916,0.9057137229771453
12518260,BPIC15_1,0.478,0.4895625755257511
12529013,BPIC15_5,0.801,0.7959485084534121
12536339,BPIC15_1,0.884,0.8750366175250068
12539945,BPIC15_1,0.48,0.49162417539986364
12541228,BPIC15_5,0.477,0.4890978014646725
12544157,BPIC15_5,0.851,0.8436417165823248
12545301,BPIC15_1,0.925,0.9141504648797047
12551070,BPIC15_1,0.887,0.8774252238808039
12555928,BPIC15_5,0.811,0.8055698240344212
12566447,BPIC15_1,0.472,0.48385570784703075
12589769,BPIC15_1,0.468,0.4806400163343192
12592500,BPIC15_1,0.923,0.912118621913396
12593630,BPIC15_1,0.912,0.9017269902837308
12594402,BPIC15_1,0.912,0.9014250281903907
12595217,BPIC15_1,0.912,0.9013414341645508
12599420,BPIC15_5,0.887,0.878004468593975
12601705,BPIC15_5,0.804,0.7994889485320634
12606445,BPIC15_2,0.45,0.4632434331795277
12616015,BPIC15_1,0.914,0.9030906429996793
12626183,BPIC15_1,0.926,0.9148753033440665
12626453,BPIC15_1,0.928,0.9170806551492194
12639152,BPIC15_1,0.884,0.875080446898594
12645436,BPIC15_5,0.398,0.4137303658614141
12646634,BPIC15_1,0.884,0.8749085957788061
12662404,BPIC15_1,0.884,0.8750371144851995
12663987,BPIC15_1,0.47,0.48210385948949247
12678562,BPIC15_5,0.891,0.8815797926626207
12682517,BPIC15_5,0.816,0.8101817677488701
12684275,BPIC15_5,0.824,0.8178496463138483
12687876,BPIC15_1,0.926,0.9145856040109824
12689333,BPIC15_1,0.477,0.48891064595347294
12717920,BPIC15_5,0.813,0.8077014886273651
12740211,BPIC15_5,0.879,0.8705256848973321
12744845,BPIC15_1,0.882,0.8732091780800605
12747208,BPIC15_1,0.913,0.902603525290159
12749014,BPIC15_1,0.878,0.8691494297633736
12752229,BPIC15_1,0.883,0.8737795291586077
12762756,BPIC15_1,0.842,0.8355158672882356
12766269,BPIC15_5,0.889,0.8798209241003592
12771376,BPIC15_5,0.827,0.8207235992097325
12782458,BPIC15_5,0.479,0.4907817686763025
12785089,BPIC15_1,0.877,0.8679896359651043
12789957,BPIC15_1,0.929,0.9179999964148672
12791944,BPIC15_1,0.919,0.9083006920607846
12793531,BPIC15_5,0.814,0.8087710670520243
12795896,BPIC15_5,0.821,0.8150115329741953
